feature,dtype,missing,missing_pct,cardinality_approx,min,max,mean,std,positive_inf,negative_inf,percentiles_approx
SMTP,DOUBLE,1,2.137816477006715e-06,21,0.0,0.9,1.0660936404019285e-05,0.0007707356286507712,0.0,0.0,[0. 0. 0. 0. 0. 0. 0.]
SSH,DOUBLE,1,2.137816477006715e-06,74,0.0,1.0,0.00020656710477799756,0.00758412666348919,0.0,0.0,[0. 0. 0. 0. 0. 0. 0.]
IRC,DOUBLE,1,2.137816477006715e-06,34,0.0,0.9,1.632505693278482e-05,0.0009996699871837951,0.0,0.0,[0. 0. 0. 0. 0. 0. 0.]
TCP,DOUBLE,1,2.137816477006715e-06,1194,0.0,1.0,0.5776555744831903,0.48434599546259655,0.0,0.0,[0.   0.   0.   0.99 1.   1.   1.  ]
UDP,DOUBLE,1,2.137816477006715e-06,1335,0.0,1.0,0.21336615070797846,0.3983120512190556,0.0,0.0,"[0.         0.         0.         0.         0.03314685 1.
 1.        ]"
DHCP,DOUBLE,1,2.137816477006715e-06,176,0.0,1.0,0.00017547877246455233,0.004805984841951223,0.0,0.0,[0. 0. 0. 0. 0. 0. 0.]
ARP,DOUBLE,1,2.137816477006715e-06,505,0.0,1.0,0.0028392491954537325,0.018762720978001603,0.0,0.0,"[0.         0.         0.         0.         0.         0.01
 0.08270425]"
ICMP,DOUBLE,1,2.137816477006715e-06,1043,0.0,1.0,0.16423283643705588,0.36714962171588444,0.0,0.0,[0. 0. 0. 0. 0. 1. 1.]
IGMP,DOUBLE,1,2.137816477006715e-06,34,0.0,1.0,2.0938597023506907e-05,0.0013215995385492186,0.0,0.0,[0. 0. 0. 0. 0. 0. 0.]
IPv,DOUBLE,1,2.137816477006715e-06,510,0.0,1.0,0.9971607508145507,0.018762720978001458,0.0,0.0,"[0.91695519 0.99       1.         1.         1.         1.
 1.        ]"
LLC,DOUBLE,1,2.137816477006715e-06,510,0.0,1.0,0.9971607508145507,0.018762720978001458,0.0,0.0,"[0.91695519 0.99       1.         1.         1.         1.
 1.        ]"
Tot sum,BIGINT,1,2.137816477006715e-06,115225,60.0,316492.0,10977.931619330386,16893.024214173864,0.0,0.0,[  848  6000  6000  6000  6010 57030 91911]
Min,BIGINT,1,2.137816477006715e-06,1706,42.0,13583.0,80.0603226405523,107.43481413232108,0.0,0.0,[ 60  60  60  60  60 114 586]
Max,BIGINT,1,2.137816477006715e-06,7286,1.0,52194.0,223.88378254309907,583.7658847831756,0.0,0.0,[  60   60   60   60   76 1326 2949]
AVG,DOUBLE,2,4.27563295401343e-06,127955,46.0,13583.0,131.79056964229846,229.63669063327984,0.0,0.0,"[  60.           60.           60.           60.           60.24434809
  585.39474618 1018.86085974]"
Std,DOUBLE,704,0.0015050227998127273,2102410,0.0,11655.404669079491,41.490701399766415,180.83510242686,0.0,0.0,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 7.40858869e-01 2.45840414e+02 8.04099930e+02]"
Tot size,DOUBLE,3,6.413449431020145e-06,127955,46.0,13583.0,131.79057115716748,229.63669285415915,0.0,0.0,"[  60.           60.           60.           60.           60.24434796
  585.39476223 1018.86155264]"
IAT,DOUBLE,3,6.413449431020145e-06,1222804,-0.0178179788589477,78612.00389949084,0.010590540451796039,21.090323093150307,0.0,0.0,"[7.65353420e-06 1.59830560e-05 2.66586323e-05 4.11257698e-05
 8.90321094e-05 1.12283959e-03 1.69632756e-02]"
Number,BIGINT,3,6.413449431020145e-06,96,1.0,100.0,95.48821176920636,19.602998789618567,0.0,0.0,[ 10  56 100 100 100 100 100]
Variance,DOUBLE,705,0.001507160616289734,3423386,0.0,135848458.0,34422.81260871326,389351.2924348492,0.0,0.0,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 7.07710785e-01 7.68928562e+04 6.62748259e+05]"
source_file,VARCHAR,0,0.0,430,,,,,,,
original_label,VARCHAR,0,0.0,35,,,,,,,
