feature,dtype,missing,missing_pct,cardinality_approx,analysis_dtype,min,max,mean,std,positive_inf,negative_inf,percentiles_approx
tcp.connection.fin,VARCHAR,0,0.0,4,DOUBLE_INFERRED,0.0,1.0,0.07207656348024247,0.25861464728294725,0.0,0.0,[0. 0. 0. 0. 0. 1. 1.]
tcp.connection.rst,VARCHAR,0,0.0,2,DOUBLE_INFERRED,0.0,1.0,0.11079090210459079,0.3138730364243606,0.0,0.0,[0. 0. 0. 0. 0. 1. 1.]
tcp.connection.syn,VARCHAR,0,0.0,3,DOUBLE_INFERRED,0.0,1440.0,0.09865464345208871,0.8394266454959223,0.0,0.0,[0. 0. 0. 0. 0. 1. 1.]
tcp.connection.synack,VARCHAR,0,0.0,166,DOUBLE_INFERRED,0.0,64666.0,176.7230317826519,3216.6278927821913,0.0,0.0,[0. 0. 0. 0. 0. 0. 1.]
tcp.dstport,VARCHAR,0,0.0,71597,DOUBLE_INFERRED,0.0,65535.0,18111.64412735035,25526.62104139663,0.0,0.0,"[    0.             0.             0.          1883.
 50720.09895239 62201.22153341 64867.82331778]"
tcp.flags,VARCHAR,0,0.0,12,,,,,,,,
tcp.flags.ack,VARCHAR,0,0.0,592,DOUBLE_INFERRED,0.0,5900.0,1.0078354004320569,22.38711381005322,0.0,0.0,[0. 0. 0. 1. 1. 1. 1.]
tcp.len,VARCHAR,0,0.0,1213,DOUBLE_INFERRED,0.0,65228.0,28.435899679705038,187.53614603661305,0.0,0.0,"[  0.           0.           0.           0.           0.
 120.         904.70737778]"
tcp.options,VARCHAR,0,0.0,1584739,,,,,,,,
tcp.payload,VARCHAR,0,0.0,493338,,,,,,,,
tcp.seq,VARCHAR,0,0.0,222825,DOUBLE_INFERRED,0.0,4294967019.0,957814.8020080474,12235634.894783694,0.0,0.0,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 6.00000000e+00 2.24908147e+02 5.63627485e+06]"
tcp.srcport,VARCHAR,0,0.0,71597,DOUBLE_INFERRED,0.0,65535.0,23950.30896694578,25827.625824241837,0.0,0.0,"[    0.             0.          1160.64684328  4152.72673527
 52744.47898465 62781.04307026 64988.87902871]"
udp.port,VARCHAR,0,0.0,628,DOUBLE_INFERRED,0.0,63894.0,6.036860291872733,542.7703525119774,0.0,0.0,[0. 0. 0. 0. 0. 0. 0.]
udp.stream,VARCHAR,0,0.0,2903621,DOUBLE_INFERRED,0.0,2898793.0,208604.19171692323,598915.3377704546,0.0,0.0,"[      0.               0.               0.               0.
       0.         1887620.00074361 2671419.75069   ]"
udp.time_delta,VARCHAR,0,0.0,1269,DOUBLE_INFERRED,0.0,52570.0,0.05785081072737425,31.20472123237898,0.0,0.0,[0. 0. 0. 0. 0. 0. 0.]
dns.qry.name,VARCHAR,0,0.0,291935,,,,,,,,
dns.qry.name.len,VARCHAR,0,0.0,17,DOUBLE_INFERRED,0.0,245.0,0.0032814948671171886,0.29588466804992686,0.0,0.0,[0. 0. 0. 0. 0. 0. 0.]
dns.qry.qu,VARCHAR,0,0.0,86,DOUBLE_INFERRED,0.0,1028.0,0.007969981938471354,2.0495977897311572,0.0,0.0,[0. 0. 0. 0. 0. 0. 0.]
dns.qry.type,VARCHAR,0,0.0,7,DOUBLE_INFERRED,0.0,37.0,0.0022773560800197538,0.24894777428434922,0.0,0.0,[0. 0. 0. 0. 0. 0. 0.]
dns.retransmission,VARCHAR,0,0.0,7,DOUBLE_INFERRED,0.0,28.0,0.0013656410921285766,0.19062055032020245,0.0,0.0,[0. 0. 0. 0. 0. 0. 0.]
dns.retransmit_request,VARCHAR,0,0.0,2,DOUBLE_INFERRED,0.0,1.0,3.3675512860727884e-06,0.001835085859691905,0.0,0.0,[0. 0. 0. 0. 0. 0. 0.]
dns.retransmit_request_in,VARCHAR,0,0.0,6,DOUBLE_INFERRED,0.0,146276.0,0.1158929403942432,130.1925692950807,0.0,0.0,[0. 0. 0. 0. 0. 0. 0.]
mqtt.conack.flags,VARCHAR,0,0.0,14,DOUBLE_INFERRED,0.0,1574359.0,3.0929713582446063,2164.8304966124165,0.0,0.0,[0. 0. 0. 0. 0. 0. 0.]
mqtt.conflag.cleansess,VARCHAR,0,0.0,3,DOUBLE_INFERRED,0.0,12.0,0.030903275310094524,0.17439149117727037,0.0,0.0,[0. 0. 0. 0. 0. 0. 1.]
mqtt.conflags,VARCHAR,0,0.0,3,DOUBLE_INFERRED,0.0,0.0,0.0,0.0,0.0,0.0,[0. 0. 0. 0. 0. 0. 0.]
mqtt.hdrflags,VARCHAR,0,0.0,6,DOUBLE_INFERRED,0.0,0.0,0.0,0.0,0.0,0.0,[0. 0. 0. 0. 0. 0. 0.]
mqtt.len,VARCHAR,0,0.0,48,DOUBLE_INFERRED,0.0,49.0,1.2908036676399055,5.3305188237531995,0.0,0.0,"[ 0.          0.          0.          0.          0.         11.92797957
 31.10583439]"
mqtt.msg_decoded_as,VARCHAR,0,0.0,2,,,,,,,,
mqtt.msg,VARCHAR,0,0.0,1475,,,,,,,,
mqtt.msgtype,VARCHAR,0,0.0,5,DOUBLE_INFERRED,0.0,14.0,0.616929254779719,2.4692119188969475,0.0,0.0,"[ 0.          0.          0.          0.          0.          2.99682902
 14.        ]"
mqtt.proto_len,VARCHAR,0,0.0,5,DOUBLE_INFERRED,0.0,4.0,0.12344433360688085,0.6917650284789395,0.0,0.0,[0. 0. 0. 0. 0. 0. 4.]
mqtt.protoname,VARCHAR,0,0.0,4,,,,,,,,
mqtt.topic,VARCHAR,0,0.0,12,,,,,,,,
mqtt.topic_len,VARCHAR,0,0.0,7,DOUBLE_INFERRED,0.0,24.0,0.39650514537075104,2.3627718836182257,0.0,0.0,"[ 0.         0.         0.         0.         0.         0.
 11.9977718]"
mqtt.ver,VARCHAR,0,0.0,21,DOUBLE_INFERRED,0.0,187.0,0.2312900583844252,2.1221701799016675,0.0,0.0,[0. 0. 0. 0. 0. 0. 4.]
mbtcp.len,VARCHAR,0,0.0,52277,DOUBLE_INFERRED,0.0,48900.0,118.42579424567664,1961.2998465689175,0.0,0.0,[0. 0. 0. 0. 0. 0. 0.]
mbtcp.trans_id,VARCHAR,0,0.0,161,DOUBLE_INFERRED,0.0,151.0,0.08397806258237502,1.2351658188194734,0.0,0.0,[0. 0. 0. 0. 0. 0. 0.]
mbtcp.unit_id,VARCHAR,0,0.0,6,DOUBLE_INFERRED,0.0,6.0,1.0350267923370776e-05,0.004566070322529879,0.0,0.0,[0. 0. 0. 0. 0. 0. 0.]
Attack_label,VARCHAR,0,0.0,2,DOUBLE_INFERRED,0.0,1.0,0.48184255964799977,0.4996702109634339,0.0,0.0,"[0.         0.         0.         0.01955777 1.         1.
 1.        ]"
Attack_type,VARCHAR,0,0.0,17,,,,,,,,
source_file,VARCHAR,0,0.0,21,,,,,,,,
